starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 31 11:28:12 2020	1585628892	804	330	1134	325
Tue Mar 31 11:28:12 2020	1585628892	805	330	1134	325
Tue Mar 31 11:28:12 2020	1585628892	805	330	1135	314
Tue Mar 31 11:28:12 2020	1585628892	804	331	1135	326
Tue Mar 31 11:28:12 2020	1585628892	808	338	1146	321
Tue Mar 31 11:28:12 2020	1585628892	801	349	1150	331
Tue Mar 31 11:28:12 2020	1585628892	803	348	1150	331
Tue Mar 31 11:28:12 2020	1585628892	803	348	1151	331
Tue Mar 31 11:28:12 2020	1585628892	803	348	1152	331
Tue Mar 31 11:28:12 2020	1585628892	805	348	1153	331
Tue Mar 31 11:28:12 2020	1585628892	826	331	1157	327
Tue Mar 31 11:28:10 2020	1585628890	569	702	1272	483
Tue Mar 31 11:28:15 2020	1585628895	105	1338	1443	1336
Tue Mar 31 11:28:15 2020	1585628895	216	1249	1465	1247
Tue Mar 31 11:28:15 2020	1585628895	259	1206	1465	1199
Tue Mar 31 11:28:15 2020	1585628895	84	1386	1470	1382
Tue Mar 31 11:28:15 2020	1585628895	261	1213	1474	1212
Tue Mar 31 11:28:15 2020	1585628895	226	1248	1475	1243
Tue Mar 31 11:28:15 2020	1585628895	67	1408	1475	1406
Tue Mar 31 11:28:15 2020	1585628895	84	1401	1485	1397
Tue Mar 31 11:28:15 2020	1585628895	72	1418	1490	1416
Tue Mar 31 11:28:15 2020	1585628895	259	1239	1499	1238
Tue Mar 31 11:28:15 2020	1585628895	260	1241	1501	1238
Tue Mar 31 11:28:15 2020	1585628895	100	1403	1503	1399
Tue Mar 31 11:28:10 2020	1585628890	1398	110	1507	77
Tue Mar 31 11:28:15 2020	1585628895	260	1260	1520	1257
Tue Mar 31 11:28:15 2020	1585628895	260	1261	1520	1258
Tue Mar 31 11:28:15 2020	1585628895	260	1262	1522	1258
Tue Mar 31 11:28:15 2020	1585628895	260	1281	1540	1279
Tue Mar 31 11:28:10 2020	1585628890	1439	110	1549	77
Tue Mar 31 11:28:15 2020	1585628895	253	1302	1555	1286
Tue Mar 31 11:28:15 2020	1585628895	251	1307	1558	1293
Tue Mar 31 11:28:15 2020	1585628895	260	1308	1568	1302
Tue Mar 31 11:28:15 2020	1585628895	251	1329	1580	1316
Tue Mar 31 11:28:15 2020	1585628895	260	1328	1587	1322
Tue Mar 31 11:28:15 2020	1585628895	262	1343	1605	1341
Tue Mar 31 11:28:15 2020	1585628895	253	1352	1605	1340
Tue Mar 31 11:28:15 2020	1585628895	258	1364	1622	1361
Tue Mar 31 11:28:15 2020	1585628895	262	1368	1631	1366
Tue Mar 31 11:28:15 2020	1585628895	261	1390	1651	1382
Tue Mar 31 11:28:15 2020	1585628895	260	1392	1652	1390
Tue Mar 31 11:28:15 2020	1585628895	260	1392	1652	1390
Tue Mar 31 11:28:15 2020	1585628895	262	1416	1678	1414
Tue Mar 31 11:28:15 2020	1585628895	986	700	1686	684
Tue Mar 31 11:28:15 2020	1585628895	251	1446	1697	1430
Tue Mar 31 11:28:15 2020	1585628895	251	1454	1705	1445
Tue Mar 31 11:28:15 2020	1585628895	260	1448	1707	1441
Tue Mar 31 11:28:15 2020	1585628895	560	1181	1742	1154
Tue Mar 31 11:28:15 2020	1585628895	563	1182	1744	1134
Tue Mar 31 11:28:15 2020	1585628895	563	1182	1745	1161
Tue Mar 31 11:28:15 2020	1585628895	565	1182	1747	1134
Tue Mar 31 11:28:15 2020	1585628895	567	1182	1749	1134
Tue Mar 31 11:28:15 2020	1585628895	567	1182	1749	1135
Tue Mar 31 11:28:15 2020	1585628895	567	1182	1749	1135
Tue Mar 31 11:28:15 2020	1585628895	567	1182	1749	1135
Tue Mar 31 11:28:15 2020	1585628895	567	1183	1750	1136
Tue Mar 31 11:28:15 2020	1585628895	567	1183	1750	1134
Tue Mar 31 11:28:15 2020	1585628895	568	1183	1751	1136
Tue Mar 31 11:28:15 2020	1585628895	568	1183	1751	1162
Tue Mar 31 11:28:15 2020	1585628895	563	1189	1752	1185
Tue Mar 31 11:28:15 2020	1585628895	563	1193	1757	1187
Tue Mar 31 11:28:15 2020	1585628895	163	1594	1758	1547
Tue Mar 31 11:28:15 2020	1585628895	164	1594	1758	1547
Tue Mar 31 11:28:15 2020	1585628895	164	1594	1758	1547
Tue Mar 31 11:28:15 2020	1585628895	164	1595	1758	1547
Tue Mar 31 11:28:15 2020	1585628895	164	1595	1758	1548
Tue Mar 31 11:28:15 2020	1585628895	164	1595	1759	1548
Tue Mar 31 11:28:15 2020	1585628895	164	1595	1759	1548
Tue Mar 31 11:28:15 2020	1585628895	164	1595	1759	1548
Tue Mar 31 11:28:15 2020	1585628895	164	1596	1759	1547
Tue Mar 31 11:28:15 2020	1585628895	165	1594	1760	1548
Tue Mar 31 11:28:15 2020	1585628895	165	1595	1760	1548
Tue Mar 31 11:28:15 2020	1585628895	565	1196	1761	1193
Tue Mar 31 11:28:15 2020	1585628895	567	1197	1765	1196
Tue Mar 31 11:28:15 2020	1585628895	566	1201	1767	1198
Tue Mar 31 11:28:15 2020	1585628895	563	1238	1801	1235
Tue Mar 31 11:28:15 2020	1585628895	563	1244	1807	1239
Tue Mar 31 11:28:15 2020	1585628895	563	1258	1821	1253
Tue Mar 31 11:28:14 2020	1585628894	122	1699	1821	1652
Tue Mar 31 11:28:14 2020	1585628894	272	1550	1822	1502
Tue Mar 31 11:28:14 2020	1585628894	123	1699	1822	1652
Tue Mar 31 11:28:15 2020	1585628895	563	1260	1823	1256
Tue Mar 31 11:28:15 2020	1585628895	565	1261	1826	1258
Tue Mar 31 11:28:15 2020	1585628895	562	1279	1841	1276
Tue Mar 31 11:28:15 2020	1585628895	565	1285	1850	1280
Tue Mar 31 11:28:15 2020	1585628895	564	1294	1858	1292
Tue Mar 31 11:28:15 2020	1585628895	567	1317	1884	1314
Tue Mar 31 11:28:15 2020	1585628895	566	1326	1892	1322
Tue Mar 31 11:28:15 2020	1585628895	563	1330	1893	1326
Tue Mar 31 11:28:15 2020	1585628895	497	1405	1902	1403
Tue Mar 31 11:28:15 2020	1585628895	560	1347	1906	1344
Tue Mar 31 11:28:05 2020	1585628885	80	1838	1918	1829
Tue Mar 31 11:28:05 2020	1585628885	81	1838	1919	1829
Tue Mar 31 11:28:05 2020	1585628885	81	1838	1919	1829
Tue Mar 31 11:28:05 2020	1585628885	81	1838	1919	1829
Tue Mar 31 11:28:15 2020	1585628895	562	1359	1921	1355
Tue Mar 31 11:28:15 2020	1585628895	563	1362	1926	1359
Tue Mar 31 11:28:15 2020	1585628895	562	1384	1946	1380
Tue Mar 31 11:28:15 2020	1585628895	562	1395	1957	1390
Tue Mar 31 11:28:15 2020	1585628895	564	1396	1960	1390
Tue Mar 31 11:28:15 2020	1585628895	555	1405	1960	1403
Tue Mar 31 11:28:15 2020	1585628895	566	1397	1963	1394
Tue Mar 31 11:28:15 2020	1585628895	555	1419	1973	1415
Tue Mar 31 11:28:15 2020	1585628895	556	1421	1976	1418
Tue Mar 31 11:28:15 2020	1585628895	564	1424	1987	1420
Tue Mar 31 11:28:15 2020	1585628895	566	1433	1999	1429
Tue Mar 31 11:28:04 2020	1585628884	68	2007	2075	87
Tue Mar 31 11:28:13 2020	1585628893	571	1531	2102	1413
Tue Mar 31 11:28:13 2020	1585628893	572	1530	2102	1413
Tue Mar 31 11:28:13 2020	1585628893	571	1533	2104	1414
Tue Mar 31 11:28:13 2020	1585628893	572	1533	2104	1414
Tue Mar 31 11:28:13 2020	1585628893	571	1535	2106	1415
Tue Mar 31 11:28:13 2020	1585628893	626	1532	2158	1415
Tue Mar 31 11:28:13 2020	1585628893	625	1534	2159	1415
Tue Mar 31 11:28:13 2020	1585628893	626	1533	2159	1416
Tue Mar 31 11:28:13 2020	1585628893	627	1532	2159	1415
Tue Mar 31 11:28:13 2020	1585628893	626	1533	2159	1415
Tue Mar 31 11:28:13 2020	1585628893	627	1533	2159	1414
Tue Mar 31 11:28:13 2020	1585628893	628	1532	2160	1414
Tue Mar 31 11:28:13 2020	1585628893	625	1535	2160	1416
Tue Mar 31 11:28:13 2020	1585628893	628	1533	2160	1415
Tue Mar 31 11:28:13 2020	1585628893	626	1534	2160	1415
Tue Mar 31 11:28:13 2020	1585628893	212	1949	2161	1799
Tue Mar 31 11:28:13 2020	1585628893	628	1532	2161	1416
Tue Mar 31 11:28:13 2020	1585628893	627	1534	2161	1415
Tue Mar 31 11:28:13 2020	1585628893	213	1948	2161	1799
Tue Mar 31 11:28:13 2020	1585628893	628	1533	2161	1416
Tue Mar 31 11:28:13 2020	1585628893	628	1533	2161	1415
Tue Mar 31 11:28:13 2020	1585628893	628	1533	2161	1416
Tue Mar 31 11:28:13 2020	1585628893	212	1949	2161	1799
Tue Mar 31 11:28:13 2020	1585628893	664	1497	2161	1438
Tue Mar 31 11:28:13 2020	1585628893	213	1948	2162	1597
Tue Mar 31 11:28:13 2020	1585628893	628	1534	2162	1417
Tue Mar 31 11:28:13 2020	1585628893	628	1533	2162	1414
Tue Mar 31 11:28:13 2020	1585628893	629	1533	2162	1416
Tue Mar 31 11:28:13 2020	1585628893	212	1950	2162	1804
Tue Mar 31 11:28:13 2020	1585628893	628	1534	2162	1414
Tue Mar 31 11:28:13 2020	1585628893	213	1949	2162	1799
Tue Mar 31 11:28:13 2020	1585628893	627	1536	2162	1415
Tue Mar 31 11:28:13 2020	1585628893	626	1536	2163	1480
Tue Mar 31 11:28:13 2020	1585628893	214	1949	2163	1799
Tue Mar 31 11:28:13 2020	1585628893	627	1536	2163	1465
Tue Mar 31 11:28:13 2020	1585628893	214	1949	2163	1799
Tue Mar 31 11:28:13 2020	1585628893	627	1536	2163	1414
Tue Mar 31 11:28:13 2020	1585628893	213	1950	2163	1804
Tue Mar 31 11:28:13 2020	1585628893	629	1534	2164	1415
Tue Mar 31 11:28:13 2020	1585628893	628	1537	2164	1416
Tue Mar 31 11:28:13 2020	1585628893	629	1536	2164	1417
Tue Mar 31 11:28:13 2020	1585628893	630	1535	2165	1417
Tue Mar 31 11:28:13 2020	1585628893	214	1951	2165	1804
Tue Mar 31 11:28:13 2020	1585628893	629	1535	2165	1476
Tue Mar 31 11:28:13 2020	1585628893	629	1537	2166	1416
Tue Mar 31 11:28:13 2020	1585628893	215	1951	2166	1804
Tue Mar 31 11:28:13 2020	1585628893	630	1536	2166	1436
Tue Mar 31 11:28:13 2020	1585628893	628	1538	2166	1419
Tue Mar 31 11:28:13 2020	1585628893	629	1537	2166	1417
Tue Mar 31 11:28:13 2020	1585628893	629	1537	2166	1466
Tue Mar 31 11:28:13 2020	1585628893	635	1534	2170	1435
Tue Mar 31 11:28:13 2020	1585628893	109	2060	2170	1462
Tue Mar 31 11:28:13 2020	1585628893	215	1955	2170	1822
Tue Mar 31 11:28:13 2020	1585628893	110	2061	2171	1698
Tue Mar 31 11:28:13 2020	1585628893	110	2061	2171	1698
Tue Mar 31 11:28:13 2020	1585628893	317	1859	2175	1712
Tue Mar 31 11:28:13 2020	1585628893	141	2091	2232	1381
Tue Mar 31 11:28:13 2020	1585628893	141	2091	2233	1381
Tue Mar 31 11:28:13 2020	1585628893	142	2092	2233	1381
Tue Mar 31 11:28:13 2020	1585628893	141	2093	2234	1391
Tue Mar 31 11:28:13 2020	1585628893	144	2091	2235	1381
Tue Mar 31 11:28:13 2020	1585628893	176	2059	2236	1397
Tue Mar 31 11:28:13 2020	1585628893	144	2096	2240	1745
Tue Mar 31 11:28:14 2020	1585628894	499	1756	2255	1710
Tue Mar 31 11:28:14 2020	1585628894	499	1756	2256	1710
Tue Mar 31 11:28:14 2020	1585628894	500	1756	2256	1710
Tue Mar 31 11:28:14 2020	1585628894	518	1739	2257	1690
Tue Mar 31 11:28:14 2020	1585628894	501	1756	2257	1710
Tue Mar 31 11:28:14 2020	1585628894	511	1747	2258	1698
Tue Mar 31 11:28:14 2020	1585628894	505	1819	2324	1773
Tue Mar 31 11:28:14 2020	1585628894	505	1819	2324	1773
Tue Mar 31 11:28:14 2020	1585628894	506	1820	2326	1773
Tue Mar 31 11:28:14 2020	1585628894	507	1819	2326	1773
Tue Mar 31 11:28:14 2020	1585628894	507	1819	2326	1772
Tue Mar 31 11:28:14 2020	1585628894	505	1821	2326	1772
Tue Mar 31 11:28:14 2020	1585628894	505	1821	2326	1772
Tue Mar 31 11:28:14 2020	1585628894	507	1819	2326	1773
Tue Mar 31 11:28:14 2020	1585628894	507	1819	2326	1773
Tue Mar 31 11:28:14 2020	1585628894	507	1819	2326	1773
Tue Mar 31 11:28:14 2020	1585628894	370	1957	2327	1911
Tue Mar 31 11:28:14 2020	1585628894	369	1958	2327	1912
Tue Mar 31 11:28:14 2020	1585628894	370	1957	2327	1911
Tue Mar 31 11:28:14 2020	1585628894	371	1957	2328	1884
Tue Mar 31 11:28:14 2020	1585628894	370	1958	2328	1912
Tue Mar 31 11:28:14 2020	1585628894	369	1959	2328	1913
Tue Mar 31 11:28:14 2020	1585628894	372	1957	2329	1911
Tue Mar 31 11:28:14 2020	1585628894	508	1821	2329	1773
Tue Mar 31 11:28:14 2020	1585628894	507	1821	2329	1773
Tue Mar 31 11:28:14 2020	1585628894	372	1957	2329	1911
Tue Mar 31 11:28:14 2020	1585628894	508	1821	2329	1773
Tue Mar 31 11:28:14 2020	1585628894	372	1958	2330	1912
Tue Mar 31 11:28:14 2020	1585628894	371	1959	2330	1912
Tue Mar 31 11:28:14 2020	1585628894	373	1957	2330	1911
Tue Mar 31 11:28:14 2020	1585628894	372	1958	2330	1912
Tue Mar 31 11:28:14 2020	1585628894	373	1958	2330	1912
Tue Mar 31 11:28:14 2020	1585628894	372	1959	2330	1912
Tue Mar 31 11:28:14 2020	1585628894	370	1961	2331	1913
Tue Mar 31 11:28:14 2020	1585628894	374	1957	2332	1912
Tue Mar 31 11:28:14 2020	1585628894	375	1958	2333	1912
Tue Mar 31 11:28:14 2020	1585628894	374	1959	2333	1912
Tue Mar 31 11:28:14 2020	1585628894	372	1961	2333	1912
Tue Mar 31 11:28:14 2020	1585628894	375	1958	2333	1912
Tue Mar 31 11:28:14 2020	1585628894	374	1959	2333	1913
Tue Mar 31 11:28:14 2020	1585628894	375	1958	2333	1913
Tue Mar 31 11:28:14 2020	1585628894	375	1959	2333	1913
Tue Mar 31 11:28:14 2020	1585628894	376	1958	2333	1912
Tue Mar 31 11:28:14 2020	1585628894	375	1959	2334	1913
Tue Mar 31 11:28:14 2020	1585628894	376	1958	2334	1912
Tue Mar 31 11:28:14 2020	1585628894	376	1958	2334	1913
Tue Mar 31 11:28:14 2020	1585628894	500	1835	2335	1788
Tue Mar 31 11:28:14 2020	1585628894	374	1961	2335	1913
Tue Mar 31 11:28:14 2020	1585628894	375	1961	2336	1913
Tue Mar 31 11:28:14 2020	1585628894	376	1961	2337	1912
Tue Mar 31 11:28:14 2020	1585628894	516	1821	2337	1772
Tue Mar 31 11:28:13 2020	1585628893	277	2095	2372	1502
Tue Mar 31 11:28:14 2020	1585628894	417	1959	2376	1911
Tue Mar 31 11:28:12 2020	1585628892	134	2243	2377	1370
